iter	Logloss
286	0.3738946162
287	0.3737596746
288	0.3735360859
289	0.3734712489
290	0.3733687702
291	0.3732263946
292	0.3731576226
293	0.3729581374
294	0.372836287
295	0.3726975672
296	0.3725430006
297	0.3724410443
298	0.3723961721
299	0.3722920229
300	0.3721558472
301	0.3720231581
302	0.3719229249
303	0.3718253268
304	0.3717433039
305	0.3716353133
306	0.3715302899
307	0.3714245196
308	0.3713031103
309	0.3711735137
310	0.3709338376
311	0.3708101657
312	0.3706709232
313	0.3705481575
314	0.3704365579
315	0.3702726951
316	0.3701828802
317	0.3700870954
318	0.3699606828
319	0.369843046
320	0.3696907314
321	0.3695601791
322	0.3693922211
323	0.3692771482
324	0.3691487859
325	0.369065888
326	0.3689448305
327	0.3688190591
328	0.3687704948
329	0.3686239304
330	0.3685232489
331	0.3683892436
332	0.3682530872
333	0.3681479766
334	0.3680662287
335	0.3679452618
336	0.3678503311
337	0.3676830011
338	0.3674778754
339	0.3673618123
340	0.3672840809
341	0.3671168134
342	0.3670350792
343	0.3667860349
344	0.3667216818
345	0.3665376941
346	0.3664604868
347	0.3663682971
348	0.3662725358
349	0.3662051188
350	0.3660501007
351	0.3658956628
352	0.3657482204
353	0.3655842567
354	0.3654789509
355	0.3653488995
356	0.365134954
357	0.3650060656
358	0.3648670649
359	0.3647360127
360	0.3646656633
361	0.3646083718
362	0.3645002541
363	0.3643400645
364	0.3642199108
365	0.3641562097
366	0.3640286087
367	0.3638614971
368	0.363794853
369	0.3636221133
370	0.3634955634
371	0.3633810175
372	0.3631068533
373	0.3629386856
374	0.3628552514
375	0.3626870825
376	0.3625330055
377	0.3624334141
378	0.3623087777
379	0.3621702366
380	0.3620970054
381	0.3620162907
382	0.361934692
383	0.3618630333
384	0.361793835
385	0.3617125143
386	0.3616763574
387	0.3615825914
388	0.3614356913
389	0.3612838892
390	0.3611723109
391	0.3610581588
392	0.3609847754
393	0.3608522001
394	0.3607041133
395	0.3605929209
396	0.3605587111
397	0.3604007002
398	0.3603211378
399	0.3601678037
400	0.3601036666
401	0.359957685
402	0.3598778731
403	0.359787842
404	0.3597103484
405	0.3595927932
406	0.3594789159
407	0.3593067191
408	0.3592027132
409	0.3590853581
410	0.3589047407
411	0.3588455609
412	0.3587777951
413	0.3586743904
414	0.3585824262
415	0.3585138356
416	0.3583521472
417	0.3582425429
418	0.3580085358
419	0.3579180568
420	0.3577861427
421	0.3576423847
422	0.3575366432
423	0.3573726023
424	0.3572809695
425	0.3570547644
426	0.3569658055
427	0.356788889
428	0.3566937519
429	0.3565847642
430	0.3564982223
431	0.3564006449
432	0.3562497572
433	0.3561596688
434	0.3560926428
435	0.3559580528
436	0.3558423155
437	0.355766387
438	0.3556862709
439	0.3555515927
440	0.3554232686
441	0.3552444569
442	0.3550790473
443	0.3549785103
444	0.3548766425
445	0.3547540733
446	0.3546358374
447	0.3545459858
448	0.3544503149
449	0.3543757109
450	0.3542262449
451	0.3541441066
452	0.3539533158
453	0.3538338627
454	0.3536353675
455	0.353526577
456	0.3534028607
457	0.3533171305
458	0.353218507
459	0.3530900193
460	0.3529124301
461	0.3527893565
462	0.3527072092
463	0.3526186698
464	0.3524702626
465	0.352360898
466	0.3522154523
467	0.3520526501
468	0.3519387214
469	0.3518235125
470	0.3516893303
471	0.3515022443
472	0.3513796643
473	0.3512309668
474	0.3510567506
475	0.3509598543
476	0.3508490474
477	0.3507708723
478	0.3506525943
479	0.3505332431
480	0.3504331767
481	0.3503134599
482	0.3502349023
483	0.3501393803
484	0.3499806549
485	0.3498704835
486	0.3497228784
487	0.3495599056
488	0.3494312491
489	0.3493338599
490	0.3492481557
491	0.3491218354
492	0.3490120157
493	0.3488919356
494	0.3488353092
495	0.3486983869
496	0.3486054009
497	0.3485211993
498	0.3483900388
499	0.3482993395
500	0.3482187672
501	0.3481526353
502	0.3480833446
503	0.347969221
504	0.3479056079
505	0.3478241195
506	0.3476774368
507	0.3475407739
508	0.3474086409
509	0.3473142892
510	0.3471914235
511	0.3471428769
512	0.3470740636
513	0.3468981921
514	0.3468231541
515	0.3467584996
516	0.3465864106
517	0.3464380146
518	0.3463452423
519	0.3462989091
520	0.3462164957
521	0.3461193132
522	0.346026377
523	0.3459121528
524	0.3458359006
525	0.3456947616
526	0.3455817849
527	0.3454870351
528	0.345407656
529	0.3453020367
530	0.3452179055
531	0.3451020583
532	0.3450214206
533	0.3449589819
534	0.3448750691
535	0.3448129389
536	0.3446533162
537	0.34460737
538	0.3444904565
539	0.3444586893
540	0.3443974335
541	0.3442686183
542	0.3441388055
543	0.3440965077
544	0.3439447344
545	0.3438809865
546	0.3437443108
547	0.3436457418
548	0.3435406051
549	0.3434244007
550	0.3433584658
551	0.3432179021
552	0.3431198469
553	0.3430161649
554	0.3429205511
555	0.3428618303
556	0.3427913799
557	0.3426923577
558	0.342551108
559	0.3424299071
560	0.3423484368
561	0.3421569584
562	0.3420635821
563	0.3419837996
564	0.3418091754
565	0.3417352716
566	0.3416534434
567	0.3415373657
568	0.3413933578
569	0.3413045294
570	0.3412463303
571	0.3411387299
572	0.3409750786
573	0.3408044361
574	0.3406926783
575	0.3405428309
576	0.3404541518
577	0.3403909413
578	0.3402813741
579	0.3401647098
580	0.3401063011
581	0.3400503974
582	0.339979939
583	0.3398889393
584	0.3397267265
585	0.3395707272
586	0.339469663
587	0.3393789666
588	0.3392619203
589	0.3392025937
590	0.3390905751
591	0.3390311174
592	0.3389355649
593	0.3387684939
594	0.3386897139
595	0.338584586
596	0.3384705831
597	0.3383987497
598	0.3382379035
599	0.3381685475
600	0.3380580013
601	0.3379884424
602	0.3378341166
603	0.3377042001
604	0.3376340385
605	0.3375250743
606	0.3373948869
607	0.3372452762
608	0.3370707739
609	0.3369509112
610	0.3368700947
611	0.3367357675
612	0.3366056571
613	0.3365620421
614	0.3364586247
615	0.3363503734
616	0.3362879372
617	0.3362321408
618	0.3361160869
619	0.3360034396
620	0.3359113314
621	0.3358921756
622	0.3357445653
623	0.3356356607
624	0.3355268736
625	0.3353517216
626	0.335186813
627	0.335106289
628	0.3349433056
629	0.3347737731
630	0.3346985574
631	0.3346078707
632	0.3345155028
633	0.3344739245
634	0.3344031723
635	0.334247473
636	0.334105259
637	0.3340578059
638	0.3339374608
639	0.3337789185
640	0.3336714437
641	0.3335835712
642	0.333474395
643	0.3333674501
644	0.333346562
645	0.3332157818
646	0.3330984332
647	0.3329714578
648	0.3328880386
649	0.3327249331
650	0.3325936191
651	0.33245202
652	0.3323401486
653	0.3322497676
654	0.3321457241
655	0.331966764
656	0.331873699
657	0.3318077409
658	0.3317492919
659	0.3315904158
660	0.3315136889
661	0.3314102496
662	0.3312962713
663	0.3311697002
664	0.3311180828
665	0.3310630343
666	0.3309262735
667	0.3308369803
668	0.3306359227
669	0.3305278249
670	0.33039728
671	0.330269
672	0.3301713614
673	0.330002192
674	0.3299263808
675	0.329870837
676	0.329785625
677	0.3296825726
678	0.3295992379
679	0.3293831439
680	0.3292603398
681	0.3292093691
682	0.3291076654
683	0.3289924155
684	0.3289155843
685	0.3287263584
686	0.328687006
687	0.328577699
688	0.3284801128
689	0.328456559
690	0.3283612705
691	0.328306618
692	0.3281803692
693	0.3280496184
694	0.327881625
695	0.3277805309
696	0.3277222006
697	0.3276439833
698	0.327606191
699	0.3275388107
700	0.3273789056
701	0.3272792592
702	0.3271794069
703	0.3271070819
704	0.3270282405
705	0.3269531645
706	0.3268696656
707	0.3267654569
708	0.326674956
709	0.3265410577
710	0.3264615977
711	0.3263795265
712	0.3262925563
713	0.3261684426
714	0.3261167368
715	0.3260429178
716	0.3258839931
717	0.3257847219
718	0.3257309582
719	0.3256905655
720	0.3256000304
721	0.3254997702
722	0.3253994522
723	0.3253313555
724	0.3252437809
725	0.3251915399
726	0.3250948657
727	0.3249174463
728	0.3248241878
729	0.3246877514
730	0.3245359486
731	0.3244559989
732	0.3242990976
733	0.3241185538
734	0.3240128158
735	0.3238166093
736	0.3237305529
737	0.3236370396
738	0.3235550626
739	0.3234914908
740	0.3233947955
741	0.3233140689
742	0.3231876992
743	0.3231118375
744	0.3230270299
745	0.3229594043
746	0.3228281888
747	0.3227413485
748	0.3226474548
749	0.3225558289
750	0.3224248968
751	0.3223398518
752	0.3221668757
753	0.3220823961
754	0.32202624
755	0.3219451895
756	0.3218386763
757	0.3217296064
758	0.3215982759
759	0.3214653398
760	0.321392838
761	0.3212431818
762	0.3211389098
763	0.3210749533
764	0.3209974795
765	0.3209433379
766	0.3208152586
767	0.3206692483
768	0.3205307157
769	0.320445624
770	0.320396094
771	0.3203376928
772	0.3202436423
773	0.3201325229
774	0.3200393473
775	0.3199584166
776	0.3197901271
777	0.3197042964
778	0.3196422577
779	0.3195858871
780	0.3194689018
781	0.3193704185
782	0.31926925
783	0.3191035258
784	0.3190064534
785	0.3189407832
786	0.3188463141
787	0.318726354
788	0.3186669035
789	0.3185054395
790	0.3184563395
791	0.3183876076
792	0.3183404792
793	0.3182072912
794	0.3181018557
795	0.3179439325
796	0.3178279272
797	0.317703259
798	0.3175954562
799	0.3174745706
800	0.3173933622
801	0.3172875981
802	0.3172359213
803	0.3171407585
804	0.3170687389
805	0.3169277736
806	0.3168769912
807	0.3167769197
808	0.3167209571
809	0.3166603352
810	0.3166092713
811	0.3164949367
812	0.3164462735
813	0.3164000711
814	0.3162687193
815	0.3161850052
816	0.3160667196
817	0.3160093536
818	0.3159299481
819	0.3158297919
820	0.3157891259
821	0.315734256
822	0.3156988717
823	0.3156326728
824	0.315491497
825	0.3153450139
826	0.3152084623
827	0.315102389
828	0.3150021864
829	0.3148939408
830	0.3148086077
831	0.3147460912
832	0.3146600904
833	0.3146469376
834	0.3144931839
835	0.3143802136
836	0.3142798982
837	0.3142328458
838	0.3141390211
839	0.3140430688
840	0.3139527617
841	0.3138400805
842	0.3137332448
843	0.3136794817
844	0.3136129048
845	0.3134563667
846	0.3133563871
847	0.3132854421
848	0.3132141144
849	0.3131546627
850	0.3130705134
851	0.3130230662
852	0.3129624172
853	0.3128497414
854	0.3126768685
855	0.3125739907
856	0.3124361758
857	0.3123607434
858	0.3122482935
859	0.3121376226
860	0.3120321953
861	0.3119328369
862	0.3118993393
863	0.3118111668
864	0.3116464023
865	0.3115814521
866	0.3115287828
867	0.3114220879
868	0.311362628
869	0.3112820723
870	0.3111982724
871	0.3111310547
872	0.3110669389
873	0.3109813085
874	0.3108932662
875	0.3108488164
876	0.3107528299
877	0.3106746409
878	0.3105732231
879	0.3105538982
880	0.3104801592
881	0.3104148797
882	0.3103240407
883	0.3102548413
884	0.3101645533
885	0.3101288076
886	0.3100245508
887	0.309953481
888	0.3097766838
889	0.3096581255
890	0.3095625813
891	0.3094571763
892	0.3093571436
893	0.3092664632
894	0.3091302044
895	0.3090489279
896	0.3090129843
897	0.3089332279
898	0.3088768901
899	0.3088040808
900	0.3087090841
901	0.3086200213
902	0.3085896442
903	0.3084904865
904	0.3083933773
905	0.3083106695
906	0.3082279307
907	0.308121654
908	0.3080409904
909	0.3078958304
910	0.3078665999
911	0.3077591452
912	0.3076689434
913	0.307553547
914	0.307462268
915	0.3074117342
916	0.3072941985
917	0.3072615695
918	0.3071353904
919	0.3070799033
920	0.3070215277
921	0.3069494421
922	0.3068794801
923	0.3067948236
924	0.306741114
925	0.3065984307
926	0.30651619
927	0.3063792674
928	0.3063230384
929	0.3062573564
930	0.3061975819
931	0.3061195563
932	0.3060515924
933	0.305928432
934	0.3058620858
935	0.3057079501
936	0.3056352345
937	0.3055787789
938	0.3054833937
939	0.3053613233
940	0.3052355543
941	0.305152579
942	0.305105207
943	0.3050199799
944	0.3049223332
945	0.3048005502
946	0.3047339164
947	0.3046623816
948	0.3045136611
949	0.3044588114
950	0.3043768234
951	0.3043203377
952	0.3042475767
953	0.3041493409
954	0.304077505
955	0.303962418
956	0.3038369811
957	0.3037955125
958	0.3037297239
959	0.3036569624
960	0.303568946
961	0.3034879793
962	0.3033946588
963	0.3032898142
964	0.3031994868
965	0.3030600461
966	0.3030200697
967	0.3029773021
968	0.3029205284
969	0.3028555582
970	0.3028284736
971	0.3027500775
972	0.3026593346
973	0.3025589654
974	0.3024241666
975	0.3022897592
976	0.3021880525
977	0.3021137301
978	0.3020733198
979	0.3020125059
980	0.3019432813
981	0.3018254219
982	0.3017313467
983	0.3016352663
984	0.3015984064
985	0.3014605424
986	0.3013625304
987	0.3012107584
988	0.3011113775
989	0.3009959008
990	0.3009253977
991	0.3008562759
992	0.3007948525
993	0.3006622019
994	0.3006050907
995	0.3004374206
996	0.3003676706
997	0.3002659595
998	0.3002008348
999	0.3001003921
